STATE,YEAR,HSS,CPE,IIM,HD,CM,EOH
SD,2018,7.599999905,4.199999809,8.199999809,4.800000191,7.300000191,5.599999905
TN,2018,8.800000191,4.900000095,9.399999619,4.599999905,5.400000095,6.5
TX,2018,8.600000381,5.099999905,8.800000191,4.800000191,5.300000191,7.5
UT,2018,8.399999619,6.199999809,9.699999809,5.699999809,4.5,6.699999809
VA,2018,9.300000191,5.800000191,9.699999809,5.599999905,5.699999809,7.699999809
VT,2018,9.399999619,6.699999809,8.800000191,5.800000191,6,7.099999905
WA,2018,8.5,5.599999905,8.399999619,4,5.5,7.800000191
WI,2018,8.800000191,5.699999809,9,5.300000191,6.099999905,7.5
WV,2018,6.599999905,5,8.300000191,4.5,7,5.199999809
WY,2018,8.100000381,4.300000191,8.399999619,5.099999905,4.800000191,5.199999809
AK,2019,9.100000381,4.400000095,7.800000191,3.900000095,3.299999952,5.800000191
AL,2019,8.5,4.900000095,9.199999809,5.300000191,5.599999905,6.800000191
AR,2019,8.399999619,5.099999905,8.899999619,4.5,6.800000191,6.599999905
AZ,2019,8.600000381,5.099999905,9.600000381,4,5.5,7.099999905
CA,2019,7.800000191,5.099999905,9,4.099999905,4.900000095,7.800000191
CO,2019,8.600000381,5.800000191,9.199999809,5.699999809,6,7.599999905
CT,2019,8.800000191,6.5,8.899999619,5.300000191,6.400000095,6.599999905
DC,2019,8.399999619,7.400000095,7.900000095,5.900000095,7.300000191,6.800000191
DE,2019,7.900000095,6.599999905,8.5,5.5,6.300000191,5.900000095
FL,2019,9,4.900000095,9.100000381,4.5,4.900000095,7.699999809
GA,2019,9.100000381,5.699999809,9.100000381,5.5,5.5,7.099999905
HI,2019,8.100000381,5.199999809,8.199999809,4,5.699999809,7.400000095
IA,2019,8.5,4.800000191,9.100000381,5.5,7.300000191,7.800000191
ID,2019,8.699999809,5.599999905,9.199999809,4.5,4.900000095,6.5
IL,2019,8.5,4.599999905,9,4.900000095,6,7.599999905
IN,2019,8.699999809,4.099999905,8.199999809,4.400000095,5.300000191,6.599999905
KS,2019,7.5,5.300000191,9.5,5.800000191,6.800000191,5.699999809
KY,2019,7.900000095,4.699999809,9.600000381,4.5,6.199999809,7.099999905
LA,2019,7.099999905,5.300000191,9.100000381,3.900000095,4.800000191,6.400000095
MA,2019,9.399999619,6.900000095,8.899999619,4.900000095,7,7.5
MD,2019,9.399999619,6.099999905,9.800000191,5,6.400000095,8.100000381
ME,2019,8.199999809,5.900000095,9,5.800000191,6.300000191,6.800000191
MI,2019,9.300000191,4.800000191,9.100000381,4.599999905,6.099999905,7.300000191
MN,2019,9,6.099999905,8,4.900000095,6.699999809,7
MO,2019,8.899999619,4.900000095,9,5.300000191,6.800000191,6.800000191
MS,2019,8.5,5.300000191,9,4.699999809,5.599999905,5.900000095
MT,2019,8.100000381,5.599999905,8.399999619,4.5,7,6.599999905
NC,2019,8.399999619,5.099999905,9.699999809,4.800000191,6.5,7.699999809
ND,2019,7.599999905,6.400000095,9.399999619,5,6.800000191,6.099999905
NE,2019,9.199999809,5.800000191,9.199999809,5.400000095,7.300000191,7.099999905
NH,2019,8.399999619,4.599999905,8.800000191,6.699999809,6.5,7.599999905
NJ,2019,7.900000095,5.400000095,8.199999809,5.5,6.300000191,6.900000095
NM,2019,8.699999809,4,8.800000191,3.700000048,4.599999905,6.900000095
NV,2019,7.900000095,4.5,8.100000381,3.599999905,3.900000095,6.599999905
NY,2019,8.899999619,5.699999809,8.399999619,5,5.900000095,7.599999905
OH,2019,6.800000191,5,8.600000381,4.900000095,6.199999809,6.199999809
OK,2019,8.100000381,5.400000095,9,4.900000095,5.800000191,6
OR,2019,8.399999619,5.800000191,7.900000095,5,7,7.300000191
PA,2019,8.399999619,5.5,8.5,5.400000095,6.900000095,6.800000191
RI,2019,7.599999905,6.699999809,8.899999619,5.800000191,8.199999809,6.099999905
SC,2019,8.100000381,3.900000095,9.699999809,6.099999905,6.599999905,7.300000191
SD,2019,8.399999619,4.199999809,8.199999809,4.800000191,7,6
TN,2019,8.800000191,4.800000191,9.399999619,4.800000191,5.800000191,6.300000191
TX,2019,8.800000191,5,8.800000191,4.800000191,5.800000191,6.900000095
UT,2019,8.300000191,6.199999809,9.199999809,5.599999905,5.300000191,6.599999905
VA,2019,9.399999619,5.599999905,9.699999809,5.699999809,5.900000095,7.699999809
VT,2019,8.800000191,6.699999809,8.899999619,6.199999809,5.900000095,6.800000191
WA,2019,8.399999619,5.599999905,8.399999619,3.700000048,5.599999905,8.100000381
WI,2019,8.600000381,5.599999905,9,5.300000191,6.900000095,6.900000095
WV,2019,7,4.900000095,8.300000191,4.599999905,6.900000095,4.900000095
WY,2019,7.699999809,4.199999809,8.399999619,5.099999905,5.400000095,5.5
AK,2020,8.899999619,4.599999905,7.800000191,3.700000048,3.200000048,5.5
AL,2020,8.600000381,4.800000191,8.699999809,5.300000191,5.300000191,6.900000095
AR,2020,8.300000191,5.400000095,9,4.5,6.900000095,6.699999809
